start_time,end_time,words
1705,1710,"Yes . All right , let 's do"
1710,1715,She 's going to be stressing
1715,1720,out . This is
1720,1725,too long .
1725,1730,Okay . How
1730,1735,'s your reaction ? I
1735,1740,did it . Did I make an expression reaction ? That
1740,1745,was so scary . You got a reaction ? I do n't know . Oh my god . That was the scariest thing I 've ever done . Let 's go find out
1745,1750,"one . Earlier in the evening , Nadal , Gigi , and Sish played Who Knows Me Better . Cut the cameras . Cut the"
1750,1755,cameras . Then Nadal gave Salish a really sweet gift . See that on the doll 's channel
1755,1760,"when this competition is over . Okay , guys . I for sure lost because I mean , you were talking in the"
1760,1765,"middle . You 're like , I know she 's going to do it right now . You win . I was just screaming . I"
1765,1770,"do n't know if I made a reaction . I tried not to , but I think I forgot . No , you screamed the"
1770,1775,"whole time . Yeah . I thought it was only at the top that we did n't make a reaction . Yeah . No . Oh my gosh , bro . I"
1775,1780,"was like , I did it , guys . I did it . Oh my gosh . It 's"
1780,1785,okay . Needle will give me the cabana like a gentleman . I see
1785,1790,prime . I see gummies . I see root beer . I 'll bring you over somewhere . You 're getting dumped into the water . Is
1790,1795,"that a promise ? Yes . All right , take the cabana . Psych . What ? Now we see who made a bigger"
1795,1800,expression because that person loses and they are sleeping under the
1800,1805,waterfall . Look at your face . I 'm
1805,1810,"scared . Oh , that 's definitely a"
1810,1815,reaction . Straight face . He 's smiling . That 's a
1815,1820,"Oh , that 's a"
1820,1825,straight face . Dang it . Dang . He got you . He got you . We reviewed the
1825,1830,"footage . Since the rules were no expression , we have to give this entire challenge and"
1830,1835,this cabana to Nidal Wonder . Yes . I am a
1835,1840,reaction . He was smiling . You were like more expressive . That 's
1840,1845,tough . Here 's your blanket . Enjoy this sish . You got to sleep under the
1845,1850,waterfall . No . Next time . I hate you . That 's so
1850,1855,My name 's Kane . oversee park operations and I got each of you a
1855,1860,"luxury suite . Really ? Yeah . Let 's go . Come on , y' all . Let 's go . Thank you so much . Did they"
1860,1865,get rooms ? They got a room each . That 's get rooms ? They got a room each . That 's so cool . Thank you . What about me ? Did you give me one ? We 're
1865,1870,"sold out . Sorry , but um the cabana is all"
1870,1875,"yours . Guys , can you turn the lights on ? Help ,"
1875,1880,"guys . I ca n't see anything ,"
1880,1885,guys .
