start_time,end_time,words
255,260,there 's a desert there oh go go go go go then go what the muffin where is
260,265,the desert i got a disc where you got a disc i got this is that part of the clue that 's part of the clue i 'll send
265,270,you the clue right now i 'm sending it to you okay i 'm saying i 'm showing you your green
270,275,screen gets green screen no way as time passed by basically the entire dream smp
275,280,showed up even corpse hopped on the server what 's up tv oh what 's up corks hey
280,285,corpse cops how are you i 'm upset that 's a drake song you know you 're not gon na win what if i told you i
285,290,was paid to lower your morale although there 's legitimately one this is 69 420 .
290,295,it 's 69 420 t he i 've went this far just to be completely screwed with have n't i i 've
295,300,screwed with george i just realized something about you yeah you know the chords just as much as you know about
300,305,i might end the stream actually guys whoa oh i want a hen i want a
305,310,hint right now my stream is just me staring at the ocean eating pistachio okay so we know it 's
310,315,not 69 420 that 's in the middle of the ocean but it could 4 26 96 9 . what do you think my
315,320,next hint should be maybe we could just narrow it down and say it 's and say it 's a positive positive things were taking a
320,325,little longer than i thought they would so i tweeted out a huge hint to speed it up guys check jimmy
325,330,'s newest reply to tommy hurry guys hurry guys tommy mr beast just replied to you
330,335,hey tommy do n't tell anyone else but the chords are all positive okay we got ta go to the other side mr beast why
335,340,would you tweet that mr beast now everyone else could see he waited for us to be negative corners and then
340,345,tweeted out to go the other way or draw positive oh good that 's good i 've been going positive the whole time
345,350,maybe he was lying to tommy he did say that that hint was only for tommy
350,355,that 's the thing i ca n't tell if that 's that 's the thing i ca n't tell if that 's like an actual hint or he 's meaning carl just woke me up
355,360,give me a heart attack all the chords are positive my give me 15 more minutes and i 'll come
360,365,back online okay and at this point i really needed to hop into everyone 's calls and just see how they were
365,370,doing mr beast do you like pistachios oh i love them you two are getting along are n't you i have an
370,375,entire bag for you here mr beast if you want to fly on over to brighton you know just for that i 'm gon na dm you something oh
375,380,god please after the stream mr beast now that i have a general idea
380,385,of where it could be i 'm just kind of walking and praying i 'm gon na go in the positive diagonal direction oh but i ca n't really go
385,390,there it 's in the desert oh really thanks chat when when are we allowed to
390,395,give up guys i 've had enough desert please nope looks like
395,400,snow there 's no hope dude see this map here this is where everyone currently is and this is
400,405,where the gift cards actually are phillip you at six nine six nine yeah i 'm gon na beat the one that you posted
405,410,pretty soon okay go phil you got this go oh wait i 've been going to that in the nether please put your mess in the chat
410,415,from now on i 've gone i 'm at 4k in the nether there 's a tweet there 's a tweet that 's a after an hour and honestly what i
415,420,thought would be enough him i followed up with a new even bigger hint on twitter it 's as easy
420,425,e it 's easy as a b c d e what would a b c
425,430,d e mean one two three four five a c easy as death what 's
430,435,the glucose the clue is it 's in the desert why well we
435,440,can try one two three four five one two three four five actually we 're not far away from that okay here we go
440,445,boom baby i 'm gon na try one two three four five i 'm gon na try it and tommy is
445,450,literally here kill him kill him oh bbh is here corner 's got to be positive so we 've got
450,455,our head this way what did mr b say give me what mr b said it 's as easy as abchida it 's one
455,460,two three uh easy as one two three there 's no way it 's in that one desert that we were at because that
460,465,desert was not in positive coordinates maybe it 's 420 one two three people that tell me
465,470,one two three four five on the x and the z axis is a desert oh that is so far
470,475,that 's 12k 12k wait 12k 12k in the overworld right in overworld blocks i 'm traveling at immense
475,480,speeds right now because i have a horse with speed going through the nether which is eight times faster than the overworld guys check jimmy
480,485,'s twitter chick jimmy 's twitter check jimmy 's twitter i 'm checking i 'm checking i 'm checking there 's nothing no i just want to make
485,490,sure you guys have notifications on there 's multiple people here there 's
490,495,rambu and jack manifold could be there but also could n't jimmy if i give you
495,500,like three quid will you give us a clue just for that i 'm leaving oh sorry sorry it was n't
500,505,enough money that 's a desert oh that 's a desert it 's so crazy because like any second now it just pop in and render
505,510,and then boom that 's fifty thousand dollars obviously one two three four five right it was just a funny number some
510,515,of 69 420 and one two three four five i reckon the end
515,520,number 's just 420 . so the coordinates did n't have 69 or 420 at all so i dropped the
520,525,final hint mr beast tweeted the last hint let me see one of the coordinates is
525,530,zero one of the coordinates is zero do n't pick the wrong one hey what if the y is zero
530,535,could it be y zero wait is it zero one two three four five fine oh brilliant i 'm already going now i 'm
535,540,not even far away i 'm not even far away enough to bother with the nether i do n't think wait we 're really near there already
540,545,phil no i found no no no no no we found it we found it we found it oh oh
545,550,oh i found it what really
550,555,wait no jack manifold 's gon na kill me we 've always found a hundred thousand it 's underground within a
555,560,hundred block radius get digging oh wait jack mata is going significantly faster than i am
560,565,where have you gone where have you gone kill him get digging 100 radius okay come on
565,570,baby never give up i 'm literally just jump running i 'm not gon na skid out or i 'm winning we 're all gon
570,575,na come and kill you jack manifold i will win yeah i see the diamond i see the diamond oh my god where
575,580,'s my portal i lost it phil i see you missed it i
580,585,'m stressing out have you found it tobo
585,590,yes i got it
595,600,congratulations on literally winning a hundred thousand dollars thank you oh my
600,605,god how does one give away this much money do whatever the heck you want just start opening books
605,610,if you wanted the top chest is for you and the other chest you open up on stream
610,615,next page open at your own race oh god it actually is a code
615,620,this is crazy
